date,views,unique_visitors
2026-07-06,0,0
2026-07-07,0,0
2026-07-08,0,0
2026-07-09,0,0
2026-07-10,0,0
2026-07-11,0,0
2026-07-12,0,0
2026-07-13,0,0
2026-07-14,0,0
2026-07-15,0,0
2026-07-16,0,0
2026-07-17,0,0
2026-07-18,0,0
2026-07-19,42,19
2026-07-20,14,7
2026-07-21,2,2
2026-07-22,3,3
2026-07-23,3,1
2026-07-24,3,2
2026-07-25,4,1
2026-07-26,1,1
2026-07-27,0,0
2026-07-28,1,1
2026-07-29,0,0
2026-07-30,1,1
2026-07-31,0,0
2026-08-01,0,0
2026-08-02,1,1
2026-08-03,1,1
2026-08-04,3,1
2026-08-05,0,0
2026-08-06,0,0
2026-08-07,0,0
2026-08-08,0,0
2026-08-09,0,0
